Rooms,Type,Price,Method,Distance,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Regionname,Propertycount,Suburb_Encoded,SellerG_Encoded
2,0,1480000.0,1,2.5,1.0,1.0,202.0,126.0,31,2,4019.0,1060366.0714285714,1018521.6284987277
2,0,1035000.0,1,2.5,1.0,0.0,156.0,79.0,31,2,4019.0,1060366.0714285714,1018521.6284987277
3,0,1465000.0,3,2.5,2.0,0.0,134.0,150.0,31,2,4019.0,1060366.0714285714,1018521.6284987277
3,0,850000.0,0,2.5,2.0,1.0,94.0,126.0,31,2,4019.0,1060366.0714285714,1018521.6284987277
4,0,1600000.0,4,2.5,1.0,2.0,120.0,142.0,31,2,4019.0,1060366.0714285714,1014976.4536741214
2,0,941000.0,1,2.5,1.0,0.0,181.0,126.0,31,2,4019.0,1060366.0714285714,1368163.4483282676
3,0,1876000.0,1,2.5,2.0,0.0,245.0,210.0,31,2,4019.0,1060366.0714285714,1014976.4536741214
2,0,1636000.0,1,2.5,1.0,2.0,256.0,107.0,31,2,4019.0,1060366.0714285714,1014976.4536741214
1,2,300000.0,1,2.5,1.0,1.0,0.0,126.0,31,2,4019.0,1060366.0714285714,1018521.6284987277
2,0,1097000.0,1,2.5,1.0,2.0,220.0,75.0,31,2,4019.0,1060366.0714285714,1018521.6284987277
2,2,700000.0,4,2.5,2.0,1.0,0.0,126.0,31,2,4019.0,1060366.0714285714,1368163.4483282676
3,0,1350000.0,4,2.5,2.0,2.0,214.0,190.0,31,2,4019.0,1060366.0714285714,1014976.4536741214
2,2,750000.0,1,2.5,2.0,1.0,0.0,94.0,31,2,4019.0,1060366.0714285714,1018521.6284987277
2,0,1172500.0,1,2.5,1.0,1.0,195.0,126.0,31,2,4019.0,1060366.0714285714,1018521.6284987277
1,2,441000.0,3,2.5,1.0,1.0,0.0,126.0,31,2,4019.0,1060366.0714285714,1230138.0753138075
2,0,1310000.0,1,2.5,1.0,2.0,238.0,97.0,31,2,4019.0,1060366.0714285714,1368163.4483282676
3,0,1200000.0,1,2.5,2.0,1.0,113.0,110.0,31,2,4019.0,1060366.0714285714,1368163.4483282676
3,0,1176500.0,1,2.5,1.0,1.0,138.0,105.0,31,2,4019.0,1060366.0714285714,628371.4285714285
3,0,955000.0,1,2.5,1.0,0.0,183.0,126.0,31,2,4019.0,1060366.0714285714,1370401.7857142857
2,0,890000.0,1,2.5,1.0,1.0,150.0,73.0,31,2,4019.0,1060366.0714285714,1018521.6284987277
4,0,1330000.0,0,2.5,2.0,2.0,780.0,135.0,31,2,4019.0,1060366.0714285714,1946225.2100840337
3,1,900000.0,1,2.5,2.0,2.0,0.0,126.0,31,2,4019.0,1060366.0714285714,804342.1052631579
3,2,1090000.0,1,2.5,2.0,2.0,4290.0,27.0,31,2,4019.0,1060366.0714285714,1368163.4483282676
2,2,500000.0,1,2.5,1.0,1.0,0.0,60.0,31,2,4019.0,1060366.0714285714,1370401.7857142857
2,0,1100000.0,0,2.5,2.0,1.0,124.0,135.0,31,2,4019.0,1060366.0714285714,1018521.6284987277
2,0,1315000.0,1,2.5,1.0,0.0,147.0,85.0,31,2,4019.0,1060366.0714285714,1888843.9119878605
1,2,426000.0,3,2.5,1.0,1.0,0.0,126.0,31,2,4019.0,1060366.0714285714,1230138.0753138075
3,0,1447500.0,0,2.5,3.0,1.0,166.0,174.0,31,2,4019.0,1060366.0714285714,1014976.4536741214
1,2,457000.0,1,2.5,1.0,1.0,0.0,50.0,31,2,4019.0,1060366.0714285714,1368163.4483282676
2,0,1135000.0,1,2.5,2.0,2.0,98.0,128.0,31,2,4019.0,1060366.0714285714,1014976.4536741214
